video_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
7062386305862241538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7078775027595824390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7111519054262734123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7122225011259133227,0.009194979131175191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022701851193016537,0.0,0.0,0.0,0.0,0.46312067739768276,0.0,0.00261942911222242,0.0,0.0,0.522794729239618,0.0,0.0,0.0,0.0,0.0
7135299722037693702,0.0013624809839962425,0.0,0.003549221203764664,0.0017847460243894952,0.0016149727914486322,0.03775655648081793,0.031081093008549613,0.0,0.0,0.0,0.0,0.001585377293930589,0.0,0.006925728046917064,0.0,0.03367313282352214,0.0,0.8046231042528632,0.0015588498384481015,0.0,0.013333911091602802,0.049685300473210285,0.0,0.0,0.01146552568653917
7147902404225191214,0.0,0.02368843585119866,0.0,0.03905301747848838,0.019772276593396528,0.16547638135430126,0.04635507660065135,0.0,0.0,0.0,0.003854327685845023,0.0,0.0,0.0,0.003826378430132092,0.014088656898682278,0.0918088696057,0.05406159025982798,0.0,0.016888534294353903,0.4912813089303848,0.003914937586171447,0.0,0.02593020843086634,0.0
7158499382948629766,0.0,0.019076499575370335,0.0,0.0,0.0,0.0,0.5345010394569569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00828134109547252,0.0,0.0,0.4231851205057842,0.0,0.0,0.014955999366415852,0.0,0.0,0.0
7160931393382403374,0.0,0.0,0.0,0.025247234564285827,0.0,0.0,0.0,0.0,0.0,0.0,0.0029509242550626196,0.23266167643027044,0.0,0.00045249869881770755,0.10064517961213308,0.0,0.0,0.002940771226520261,0.17241826562806256,0.09142469613816408,0.22774879423685387,0.006935844007516414,0.014959778812479632,0.0,0.12161433638983368
7163518655462984966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7165934683396607274,4.112215669437607e-05,0.006685404090549886,0.0,0.006112329156237771,0.0,0.0,0.0044799262398155515,0.0,0.0,0.003890421915662941,7.419297585314442e-05,0.0,0.0,8.575654031568931e-05,0.04061227575557332,0.0,0.0,0.000773996941693935,0.007044868335921478,0.9301997058916819,0.0,0.0,0.0,0.0,0.0
7167447101016755461,0.0,0.0,0.0,0.060551153629321806,0.0238761573479478,0.051035746466619084,0.013105220059780185,0.16839847497971122,0.0,0.11052335089595917,0.0,0.07635353830715264,0.0007204779755851623,0.0,0.004857913194160423,0.006172228212907544,0.3783083615348576,0.008333575556646624,0.011901123878432939,0.0,0.026125085646126492,0.05258637099422786,0.0,0.007151221320563831,0.0
7170783309008604459,0.0019083500541425872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9676151800330289,0.0,0.0,0.0,0.0,0.03047646991282847,0.0,0.0,0.0,0.0,0.0
7172725332062096683,0.06511084241308061,0.012838479857668589,0.004031542580404639,0.0059718174532293385,0.008075890484720459,0.0,0.07368948966410288,0.0,0.0,0.0,0.0,0.10070804015997671,0.0,0.00844845115128419,0.009790837646276127,0.16291040012797425,0.01871034412142104,0.0,0.21601714806860473,0.004301591601481175,0.11831517500263672,0.02471341959586948,0.03872910194749492,0.12763742812377407,0.0
7176794657127468331,0.006096196938889776,0.0,0.0,0.007513790515963023,0.0,0.0,0.0,0.0,0.0,0.0006048914850613164,0.0,0.0,0.0,0.00012725653922108729,0.3694306550403381,0.0,0.0017349110661189647,0.0,0.0,0.6144922984144078,0.0,0.0,0.0,0.0,0.0
7179174205731196162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09147217241005769,0.0,0.0,0.0022503774122324747,0.0,0.5193911031839096,0.0,0.0,0.008226414804419333,0.0,0.36949002983804036,0.0,0.0,0.006431511136187817,0.002738391215152656,0.0
7180134020288679210,0.9999914340915738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56590842616798e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
